incident_id,person_id,date,crime_type,modus_operandi,severity,location,persons_involved,description
121,240,2021-10-10,Corruption,Coordinator,Severe,City_2,240;200;191;142;80,Corruption operation led by Coordinator
122,358,2023-07-12,Corruption,Coordinator,Severe,City_1,358;89;299,Corruption operation led by Coordinator
123,341,2023-07-08,Robbery,Peripheral,Low,City_1,341;387;484;70,Robbery operation led by Peripheral
124,196,2020-08-09,Arson,Peripheral,Low,City_9,196;150;237;446;297,Arson operation led by Peripheral
125,465,2023-05-10,Collection,Peripheral,Medium,City_10,465;268;156;231,Collection operation led by Peripheral
126,218,2024-03-01,Intimidation,Peripheral,Low,City_8,218;366;414;401,Intimidation operation led by Peripheral
127,387,2024-05-26,Collection,Peripheral,High,City_10,387;272;185;457;227,Collection operation led by Peripheral
128,12,2022-12-30,Robbery,Peripheral,Low,City_10,12;55;60;223;342,Robbery operation led by Peripheral
129,326,2023-06-05,Logistics,Enabler,High,City_10,326;456;258;163,Logistics operation led by Enabler
130,373,2020-09-02,Intimidation,Peripheral,Severe,City_4,373;171;9;322;182,Intimidation operation led by Peripheral
131,470,2024-01-05,Arson,Peripheral,Low,City_1,470;484;456;431;8,Arson operation led by Peripheral
132,259,2022-12-15,Intimidation,Peripheral,High,City_1,259;229;84;157,Intimidation operation led by Peripheral
133,103,2023-07-25,Collection,Peripheral,Low,City_1,103;319,Collection operation led by Peripheral
134,172,2020-03-26,Robbery,Peripheral,High,City_3,172;6;192;476;267,Robbery operation led by Peripheral
135,388,2020-06-22,Robbery,Peripheral,High,City_1,388;58;267;150;97,Robbery operation led by Peripheral
136,134,2024-07-21,Intimidation,Peripheral,Medium,City_2,134;170;165;437,Intimidation operation led by Peripheral
137,358,2022-08-26,Strategic Planning,Coordinator,Severe,City_7,358;330;448,Strategic Planning operation led by Coordinator
138,146,2024-06-02,Arson,Peripheral,High,City_2,146;70;496,Arson operation led by Peripheral
139,164,2022-05-26,Arson,Peripheral,Low,City_5,164;53;241;426,Arson operation led by Peripheral
140,191,2022-10-20,Drug Trafficking,Enabler,High,City_10,191;187,Drug Trafficking operation led by Enabler
141,158,2021-05-03,Collection,Peripheral,Low,City_8,158;221,Collection operation led by Peripheral
142,302,2021-01-31,Strategic Planning,Coordinator,Severe,City_10,302;363;78;138;14,Strategic Planning operation led by Coordinator
143,80,2023-01-11,Logistics,Enabler,Low,City_2,80;410;128,Logistics operation led by Enabler
144,317,2020-08-02,Illegal Contracts,Broker,High,City_1,317;369,Illegal Contracts operation led by Broker
145,135,2020-06-06,Intimidation,Peripheral,High,City_6,135;133,Intimidation operation led by Peripheral
146,191,2020-11-20,Document Forgery,Enabler,Low,City_10,191;166;233;284;450,Document Forgery operation led by Enabler
147,281,2020-03-03,Coordination,Broker,Medium,City_8,281;138;221;98;46,Coordination operation led by Broker
148,453,2020-10-10,Robbery,Peripheral,Medium,City_10,453;449;245,Robbery operation led by Peripheral
149,114,2024-12-22,Arson,Peripheral,High,City_4,114;185;76;12;277,Arson operation led by Peripheral
150,296,2021-04-06,Document Forgery,Enabler,Medium,City_10,296;438;360;494,Document Forgery operation led by Enabler
151,318,2022-09-24,Robbery,Peripheral,High,City_6,318;93;403;22,Robbery operation led by Peripheral
152,87,2022-04-09,Collection,Peripheral,Low,City_7,87;477;282;341;266,Collection operation led by Peripheral
153,219,2021-11-08,Collection,Peripheral,Medium,City_9,219;283;287;251;395,Collection operation led by Peripheral
154,434,2020-03-18,Illegal Contracts,Broker,Severe,City_2,434;257;480,Illegal Contracts operation led by Broker
155,350,2020-07-23,Document Forgery,Enabler,Low,City_1,350;422,Document Forgery operation led by Enabler
156,56,2023-04-24,Arson,Peripheral,Low,City_2,56;19;264;287,Arson operation led by Peripheral
157,149,2024-04-25,Collection,Peripheral,High,City_1,149;179;347;19;230,Collection operation led by Peripheral
158,239,2023-02-25,Extortion,Broker,Low,City_7,239;430;473,Extortion operation led by Broker
159,234,2022-11-19,Extortion,Broker,High,City_7,234;350,Extortion operation led by Broker
160,110,2021-08-12,Collection,Peripheral,Low,City_8,110;131,Collection operation led by Peripheral
161,378,2020-09-25,Robbery,Peripheral,Low,City_8,378;458;331;369;259,Robbery operation led by Peripheral
162,370,2021-11-24,Logistics,Enabler,Medium,City_2,370;496;4,Logistics operation led by Enabler
163,93,2023-01-22,Collection,Peripheral,Medium,City_10,93;453;94,Collection operation led by Peripheral
164,40,2024-06-15,Illegal Contracts,Broker,Medium,City_10,40;424;82;178;429,Illegal Contracts operation led by Broker
165,151,2020-10-23,Collection,Peripheral,Severe,City_2,151;310;17;488;477,Collection operation led by Peripheral
166,34,2024-07-27,Arson,Peripheral,Medium,City_6,34;145;458,Arson operation led by Peripheral
167,356,2024-07-10,Document Forgery,Enabler,Medium,City_2,356;125,Document Forgery operation led by Enabler
168,355,2021-09-17,Intimidation,Peripheral,Medium,City_2,355;457;426;431,Intimidation operation led by Peripheral
169,91,2024-06-28,Robbery,Peripheral,High,City_2,91;243,Robbery operation led by Peripheral
170,405,2024-11-15,Document Forgery,Enabler,Severe,City_7,405;326;408,Document Forgery operation led by Enabler
171,178,2022-03-02,Coordination,Broker,High,City_6,178;359;107;122;339,Coordination operation led by Broker
172,425,2020-05-26,Robbery,Peripheral,Medium,City_7,425;433;102,Robbery operation led by Peripheral
173,383,2020-12-15,Document Forgery,Enabler,Medium,City_6,383;132,Document Forgery operation led by Enabler
174,159,2020-01-14,Illegal Contracts,Broker,High,City_9,159;142;152;161;449,Illegal Contracts operation led by Broker
175,46,2022-05-21,Weapons Supply,Enabler,Medium,City_4,46;215;74;497,Weapons Supply operation led by Enabler
176,248,2022-10-04,Illegal Contracts,Broker,Severe,City_3,248;393;290,Illegal Contracts operation led by Broker
177,63,2023-09-14,Robbery,Peripheral,Medium,City_4,63;494;383,Robbery operation led by Peripheral
178,92,2024-05-29,Arson,Peripheral,Medium,City_8,92;325;496,Arson operation led by Peripheral
179,361,2022-07-18,Weapons Supply,Enabler,High,City_8,361;321;325;267,Weapons Supply operation led by Enabler
180,18,2020-02-07,Money Laundering,Coordinator,Medium,City_10,18;363,Money Laundering operation led by Coordinator
181,475,2024-07-29,Extortion,Broker,Severe,City_8,475;233;173;309,Extortion operation led by Broker
182,42,2024-11-21,Strategic Planning,Coordinator,Severe,City_7,42;358;299;281,Strategic Planning operation led by Coordinator
183,238,2021-02-09,Robbery,Peripheral,Low,City_1,238;315;415;498;71,Robbery operation led by Peripheral
184,154,2024-11-28,Robbery,Peripheral,High,City_10,154;94,Robbery operation led by Peripheral
185,88,2020-04-16,Drug Trafficking,Enabler,Medium,City_8,88;10,Drug Trafficking operation led by Enabler
186,30,2020-03-21,Logistics,Enabler,Low,City_10,30;85;409;454;307,Logistics operation led by Enabler
187,163,2021-07-08,Robbery,Peripheral,Low,City_3,163;20;455;439,Robbery operation led by Peripheral
188,140,2020-11-02,Money Laundering,Coordinator,Severe,City_4,140;209;315;350;74,Money Laundering operation led by Coordinator
189,380,2024-10-30,Robbery,Peripheral,Medium,City_2,380;108;463;214;351,Robbery operation led by Peripheral
190,433,2021-09-29,Drug Trafficking,Enabler,High,City_3,433;251;134;432;56,Drug Trafficking operation led by Enabler
191,14,2024-08-08,Drug Trafficking,Enabler,Low,City_2,14;476;303;390;316,Drug Trafficking operation led by Enabler
192,438,2021-12-19,Illegal Contracts,Broker,High,City_6,438;352,Illegal Contracts operation led by Broker
193,12,2022-11-09,Arson,Peripheral,High,City_7,12;319;146,Arson operation led by Peripheral
194,35,2023-04-03,Intimidation,Peripheral,Medium,City_4,35;484;392,Intimidation operation led by Peripheral
195,483,2021-03-14,Intimidation,Peripheral,Low,City_7,483;20;455;110,Intimidation operation led by Peripheral
196,474,2023-06-02,Territory Control,Coordinator,Severe,City_9,474;159;38,Territory Control operation led by Coordinator
197,440,2022-11-13,Drug Trafficking,Enabler,High,City_6,440;396;403;133,Drug Trafficking operation led by Enabler
198,5,2022-08-31,Arson,Peripheral,Low,City_3,5;275,Arson operation led by Peripheral
199,234,2023-05-16,Coordination,Broker,Medium,City_9,234;117;191;221;246,Coordination operation led by Broker
200,482,2020-06-28,Collection,Peripheral,Low,City_1,482;28,Collection operation led by Peripheral
201,313,2021-04-28,Drug Trafficking,Enabler,Medium,City_7,313;209,Drug Trafficking operation led by Enabler
202,130,2021-02-10,Collection,Peripheral,Low,City_4,130;371,Collection operation led by Peripheral
203,136,2022-08-05,Resource Distribution,Broker,High,City_3,136;88;31;30,Resource Distribution operation led by Broker
204,64,2021-07-11,Collection,Peripheral,Medium,City_7,64;356,Collection operation led by Peripheral
205,140,2024-07-14,Money Laundering,Coordinator,High,City_1,140;493;78,Money Laundering operation led by Coordinator
206,69,2021-03-29,Coordination,Broker,Low,City_8,69;178;88;363,Coordination operation led by Broker
207,42,2021-05-28,Money Laundering,Coordinator,Severe,City_6,42;309,Money Laundering operation led by Coordinator
208,336,2023-11-07,Intimidation,Peripheral,High,City_8,336;435;132;41,Intimidation operation led by Peripheral
209,378,2020-02-25,Intimidation,Peripheral,Medium,City_7,378;289;217,Intimidation operation led by Peripheral
210,126,2023-04-22,Coordination,Broker,High,City_9,126;253,Coordination operation led by Broker
211,358,2020-09-16,Strategic Planning,Coordinator,Medium,City_4,358;464,Strategic Planning operation led by Coordinator
212,41,2024-08-21,Intimidation,Peripheral,Low,City_6,41;26;50;242;175,Intimidation operation led by Peripheral
213,115,2024-09-28,Arson,Peripheral,Low,City_4,115;441;373;463;67,Arson operation led by Peripheral
214,457,2022-08-13,Robbery,Peripheral,Medium,City_9,457;64;286,Robbery operation led by Peripheral
215,225,2023-07-24,Intimidation,Peripheral,Low,City_5,225;296;96,Intimidation operation led by Peripheral
216,281,2020-02-21,Resource Distribution,Broker,Severe,City_5,281;160;330;128;383,Resource Distribution operation led by Broker
217,314,2022-06-04,Extortion,Broker,High,City_9,314;220;209;236;212,Extortion operation led by Broker
218,436,2022-03-30,Robbery,Peripheral,Medium,City_3,436;361,Robbery operation led by Peripheral
219,74,2021-01-13,Document Forgery,Enabler,Low,City_4,74;335;235;187;165,Document Forgery operation led by Enabler
220,182,2022-04-13,Document Forgery,Enabler,Severe,City_9,182;297;473;109;341,Document Forgery operation led by Enabler
221,30,2022-01-24,Weapons Supply,Enabler,Medium,City_6,30;145,Weapons Supply operation led by Enabler
222,22,2021-03-12,Logistics,Enabler,High,City_10,22;206;197;378,Logistics operation led by Enabler
223,445,2024-08-30,Drug Trafficking,Enabler,High,City_7,445;438;343,Drug Trafficking operation led by Enabler
224,144,2024-12-13,Arson,Peripheral,High,City_7,144;377;345;499,Arson operation led by Peripheral
225,339,2022-03-29,Document Forgery,Enabler,Severe,City_9,339;491;496;82,Document Forgery operation led by Enabler
226,98,2023-03-15,Resource Distribution,Broker,Medium,City_4,98;105,Resource Distribution operation led by Broker
227,324,2022-03-26,Robbery,Peripheral,High,City_5,324;88,Robbery operation led by Peripheral
228,250,2023-03-24,Arson,Peripheral,Low,City_2,250;227;35;436,Arson operation led by Peripheral
229,265,2023-01-27,Drug Trafficking,Enabler,Medium,City_10,265;388;303;160;5,Drug Trafficking operation led by Enabler
230,315,2022-01-25,Logistics,Enabler,High,City_7,315;468,Logistics operation led by Enabler
231,486,2020-09-09,Collection,Peripheral,Medium,City_1,486;28,Collection operation led by Peripheral
232,370,2020-03-12,Document Forgery,Enabler,Medium,City_7,370;241;208;454,Document Forgery operation led by Enabler
233,262,2020-05-04,Robbery,Peripheral,Low,City_2,262;60,Robbery operation led by Peripheral
234,291,2020-04-15,Logistics,Enabler,Low,City_8,291;321;464;172,Logistics operation led by Enabler
235,240,2024-12-25,Territory Control,Coordinator,Severe,City_2,240;375;171,Territory Control operation led by Coordinator
236,89,2023-02-05,Resource Distribution,Broker,High,City_5,89;473;330;264;464,Resource Distribution operation led by Broker
237,247,2020-06-23,Robbery,Peripheral,Medium,City_3,247;467;332;382,Robbery operation led by Peripheral
238,410,2021-09-23,Weapons Supply,Enabler,Low,City_7,410;426,Weapons Supply operation led by Enabler
239,458,2022-07-13,Arson,Peripheral,Medium,City_4,458;11;156;247,Arson operation led by Peripheral
240,312,2023-03-28,Intimidation,Peripheral,Low,City_5,312;337,Intimidation operation led by Peripheral
241,69,2023-08-13,Extortion,Broker,Severe,City_5,69;296;49;299;363,Extortion operation led by Broker
242,173,2020-09-01,Coordination,Broker,High,City_9,173;258;168;125;131,Coordination operation led by Broker
243,42,2023-08-28,Strategic Planning,Coordinator,Severe,City_7,42;69;264,Strategic Planning operation led by Coordinator
244,406,2023-10-11,Extortion,Broker,High,City_1,406;489,Extortion operation led by Broker
245,427,2021-10-12,Robbery,Peripheral,Low,City_5,427;231;367,Robbery operation led by Peripheral
246,257,2024-11-20,Document Forgery,Enabler,Medium,City_10,257;499;2;20;111,Document Forgery operation led by Enabler
247,457,2021-03-17,Collection,Peripheral,Medium,City_10,457;79,Collection operation led by Peripheral
248,111,2023-08-21,Robbery,Peripheral,Medium,City_6,111;428;197,Robbery operation led by Peripheral
249,375,2022-10-14,Document Forgery,Enabler,Medium,City_1,375;433;470,Document Forgery operation led by Enabler
250,455,2023-12-03,Collection,Peripheral,Severe,City_8,455;260,Collection operation led by Peripheral
251,315,2022-11-12,Document Forgery,Enabler,High,City_6,315;152;263;76;314,Document Forgery operation led by Enabler
252,202,2023-12-09,Illegal Contracts,Broker,Severe,City_6,202;489;309,Illegal Contracts operation led by Broker
253,405,2024-06-22,Logistics,Enabler,Severe,City_6,405;461;304;494,Logistics operation led by Enabler
254,40,2020-09-27,Resource Distribution,Broker,Severe,City_3,40;221;129;17;206,Resource Distribution operation led by Broker
255,424,2024-11-20,Drug Trafficking,Enabler,High,City_9,424;411;400,Drug Trafficking operation led by Enabler
256,219,2023-12-22,Robbery,Peripheral,High,City_10,219;295;127;209,Robbery operation led by Peripheral
257,131,2024-06-05,Document Forgery,Enabler,Severe,City_1,131;297,Document Forgery operation led by Enabler
258,246,2024-04-24,Weapons Supply,Enabler,Medium,City_8,246;131;40;333,Weapons Supply operation led by Enabler
259,152,2023-07-02,Resource Distribution,Broker,Medium,City_6,152;279,Resource Distribution operation led by Broker
260,75,2021-04-06,Arson,Peripheral,Low,City_6,75;110;285,Arson operation led by Peripheral
261,126,2020-12-24,Extortion,Broker,High,City_9,126;299;16,Extortion operation led by Broker
262,448,2024-08-11,Logistics,Enabler,High,City_10,448;60;208,Logistics operation led by Enabler
263,109,2020-10-12,Logistics,Enabler,Low,City_9,109;466;401,Logistics operation led by Enabler
264,40,2023-03-03,Resource Distribution,Broker,Medium,City_6,40;16;157;24;95,Resource Distribution operation led by Broker
265,420,2020-10-23,Robbery,Peripheral,Medium,City_4,420;81;55,Robbery operation led by Peripheral
266,252,2021-09-01,Intimidation,Peripheral,Medium,City_10,252;33;319;479;440,Intimidation operation led by Peripheral
267,42,2020-10-13,Strategic Planning,Coordinator,Severe,City_1,42;210;69,Strategic Planning operation led by Coordinator
268,301,2023-11-03,Intimidation,Peripheral,High,City_9,301;336;20,Intimidation operation led by Peripheral
269,473,2023-01-30,Extortion,Broker,Medium,City_6,473;353;433,Extortion operation led by Broker
270,363,2022-02-13,Resource Distribution,Broker,High,City_3,363;69;348,Resource Distribution operation led by Broker
271,327,2021-05-02,Robbery,Peripheral,Low,City_6,327;54,Robbery operation led by Peripheral
272,446,2024-04-12,Logistics,Enabler,Medium,City_5,446;27;231,Logistics operation led by Enabler
273,191,2021-08-31,Drug Trafficking,Enabler,Medium,City_3,191;384;432,Drug Trafficking operation led by Enabler
